recording_id,user_id,segment_id,watched_from,watched_to
2252,0,0,2020-03-11 17:47:01,2020-03-11 17:59:56
2252,0,1,2020-03-11 18:44:19,2020-03-11 18:57:36
2252,0,2,2020-03-11 18:13:54,2020-03-11 18:22:49
2255,0,3,2020-03-18 18:56:12,2020-03-18 18:58:03
2255,0,4,2020-03-18 18:59:56,2020-03-18 19:00:00
2235,0,5,2020-01-08 18:35:01,2020-01-08 18:47:50
2235,0,6,2020-01-08 18:35:46,2020-01-08 18:44:01
2248,0,7,2020-02-26 17:21:34,2020-02-26 17:29:17
2248,0,8,2020-02-26 17:42:19,2020-02-26 17:53:23
2248,0,9,2020-02-26 17:18:24,2020-02-26 17:42:00
2241,0,10,2020-01-22 17:01:11,2020-01-22 17:03:48
2241,0,11,2020-01-22 17:01:20,2020-01-22 17:03:16
2250,0,12,2020-03-04 17:26:27,2020-03-04 17:42:51
2250,0,13,2020-03-04 17:08:07,2020-03-04 17:14:09
2250,0,14,2020-03-04 17:31:34,2020-03-04 17:33:07
2239,0,15,2020-01-15 18:16:31,2020-01-15 18:20:41
2239,0,16,2020-01-15 18:42:05,2020-01-15 18:45:44
2233,0,17,2020-01-08 17:00:06,2020-01-08 17:35:10
2233,0,18,2020-01-08 17:16:09,2020-01-08 17:27:56
2233,0,19,2020-01-08 17:40:33,2020-01-08 17:52:07
2244,0,20,2020-02-05 17:16:21,2020-02-05 17:22:22
2244,0,21,2020-02-05 18:39:18,2020-02-05 18:58:45
2245,0,22,2020-02-12 17:39:34,2020-02-12 18:08:36
2246,0,23,2020-02-12 18:43:51,2020-02-12 18:46:14
2246,0,24,2020-02-12 18:37:12,2020-02-12 18:49:28
2246,0,25,2020-02-12 18:58:41,2020-02-12 18:58:58
2247,0,26,2020-02-19 18:39:17,2020-02-19 18:42:05
2258,0,27,2020-03-25 17:26:13,2020-03-25 17:37:17
2258,0,28,2020-03-25 17:36:09,2020-03-25 17:36:23
2238,0,29,2020-01-15 17:25:32,2020-01-15 17:44:22
2238,0,30,2020-01-15 17:45:27,2020-01-15 17:45:39
2238,0,31,2020-01-15 17:34:30,2020-01-15 17:40:31
2253,0,32,2020-03-18 17:32:34,2020-03-18 17:48:22
2251,0,33,2020-03-04 18:10:37,2020-03-04 18:36:21
2251,0,34,2020-03-04 18:53:02,2020-03-04 18:59:15
1166,0,35,2020-07-07 08:14:22,2020-07-07 08:24:45
1178,0,36,2020-08-04 08:27:59,2020-08-04 08:28:15
1184,0,37,2020-09-01 08:02:29,2020-09-01 08:02:59
1184,0,38,2020-09-01 08:00:13,2020-09-01 08:02:40
1173,0,39,2020-07-21 08:11:00,2020-07-21 08:12:00
1173,0,40,2020-07-21 08:18:04,2020-07-21 08:22:29
1169,0,41,2020-07-14 08:00:23,2020-07-14 08:00:26
1169,0,42,2020-07-14 08:00:15,2020-07-14 08:00:49
1414,0,43,2020-04-28 17:15:34,2020-04-28 17:39:23
1416,0,44,2020-05-05 17:54:43,2020-05-05 17:58:29
1416,0,45,2020-05-05 17:44:00,2020-05-05 17:54:18
1369,0,46,2020-01-21 17:08:06,2020-01-21 17:15:03
1419,0,47,2020-05-19 17:01:17,2020-05-19 17:01:20
1371,0,48,2020-01-21 17:47:24,2020-01-21 17:48:53
1412,0,49,2020-04-21 17:23:19,2020-04-21 17:49:04
1412,0,50,2020-04-21 17:51:19,2020-04-21 17:53:34
1412,0,51,2020-04-21 17:40:34,2020-04-21 17:47:59
1373,0,52,2020-01-28 17:15:56,2020-01-28 17:17:12
1423,0,53,2020-05-26 17:59:57,2020-05-26 17:59:58
1390,0,54,2020-02-25 17:49:31,2020-02-25 17:52:37
1390,0,55,2020-02-25 17:51:08,2020-02-25 17:53:44
1390,0,56,2020-02-25 17:53:40,2020-02-25 17:55:22
1405,0,57,2020-04-07 17:06:53,2020-04-07 17:21:25
1405,0,58,2020-04-07 17:27:02,2020-04-07 17:38:24
1426,0,59,2020-06-09 17:00:44,2020-06-09 17:19:42
1426,0,60,2020-06-09 17:41:27,2020-06-09 17:42:46
1426,0,61,2020-06-09 17:36:55,2020-06-09 17:43:19
1365,0,62,2020-01-07 17:48:17,2020-01-07 17:50:48
1417,0,63,2020-05-12 17:34:48,2020-05-12 17:36:39
1417,0,64,2020-05-12 17:19:53,2020-05-12 17:23:30
1430,0,65,2020-06-16 17:00:15,2020-06-16 17:00:24
1392,0,66,2020-03-03 17:50:16,2020-03-03 17:50:39
